post_id,title,score,num_comments,author,collected_at,category
49743527,Towards Self-Driving Codebases,121,99,wilhelmklopp,2026-09-23 14:25:29.399296,World News
49785168,Show HN: A GUI for non programmers for Epic's version control system Lore,6,1,m_niedoba,2026-09-23 14:25:33.507725,Entertainment
49757757,Show HN: Jeff – A read-only CLI for semantic code review using Jev,27,5,imalessandro,2026-09-23 14:25:34.792075,Entertainment
49753878,An empirical study of harness design for coding agents,225,59,wek,2026-09-23 14:25:37.482170,Science
49742714,Whoisinspace.com/,137,90,Egg-Man,2026-09-23 14:25:40.030737,Science
49806159,"High-mileage electric cars are more reliable than petrol ones, study finds",13,3,theanonymousone,2026-09-23 14:25:42.610816,Science
49735979,"Jev Ultrafast: A browser agent with a dynamic, indexed action space",92,14,rahimnathwani,2026-09-23 14:25:45.816298,Science
49806558,Trump rejects global entity for AI oversight,12,2,higginsniggins,2026-09-23 14:25:47.274560,World News
49781194,"The addiction of online sports gambling: ""Like crack in the '80s""",28,23,dzonga,2026-09-23 14:25:48.576089,Sports
49770157,Show HN: Frost – frosted-glass Linux icons where file types say what they are,13,1,thissayantan,2026-09-23 14:25:50.568887,Entertainment
49754687,Second Circuit allows government to search electronic devices at the border,130,79,HotGarbage,2026-09-23 14:25:53.131146,World News
49780807,"30 years after Civ2, Eivind IV built his own 4X game (Genesis)",6,3,JohnHammersley,2026-09-23 14:25:57.802160,Sports
49799504,Working-Class Taxpayers Subsidize Billionaires' Climate-Killing Private Jets,6,0,DefNotAiForSure,2026-09-23 14:26:16.916137,World News
49755337,Build Faster Feedback Loops Using Qualitative User Research,27,3,nadis,2026-09-23 14:26:19.512372,Science
49758028,Border agents can search cellphones without a warrant or reasonable suspicion,234,198,mmh0000,2026-09-23 14:26:21.457750,World News
49786038,Probes into Toronto's shooter-for-hire network thwarted by impenetrable phone,22,7,throw0101a,2026-09-23 14:26:23.670782,World News
